SISRecID_BLVr9,HBWv8.1_Binomial,Order,UniqueID_Plastic.study,Source,Common.name_Plastic.study,Site,lat,lon,Age.Class,Date_Text,Date_FirstYR,Date_LastYR,Study.Duration,n,sqrtN,FO,logit.FO,Plastic,Date_MedianYR
22694927,Fratercula_arctica,CHARADRIIFORMES,39,Provencher et al. 2014,Atlantic Puffin,"Bay of Exploits, Newfoundland",49.409666,-55.108579,Adult,2004,2004,2004,1,2,1.414213562,0,-7.265129978,No,2004
22694927,Fratercula_arctica,CHARADRIIFORMES,40,Provencher et al. 2014,Atlantic Puffin,"Bay of Exploits, Newfoundland",49.409666,-55.108579,Subadult,2004,2004,2004,1,14,3.741657387,0.07,-2.577491418,Yes,2004
22694927,Fratercula_arctica,CHARADRIIFORMES,41,Provencher et al. 2014,Atlantic Puffin,Faroe Islands/Norwegian Sea,68.877354,3.13966,Mixed,1987-1988,1987,1988,2,36,6,0,-7.265129978,No,1988
22698425,Thalassarche_chlororhynchos,PROCELLARIIFORMES,42,Barbieri 2009,Atlantic Yellow-nosed Albatross,"Brazil, Sao Paulo",-14.235004,-51.92528,Adult,2000-2002,2000,2002,3,9,3,0.4444,-0.223008741,Yes,2001
22698425,Thalassarche_chlororhynchos,PROCELLARIIFORMES,43,Colabuono & Vooren 2007,Atlantic Yellow-nosed Albatross,Rio Grande do Sul,-31.807168,-51.618266,Subadult/Adult,2004,2004,2004,1,26,5.099019514,0.11,-2.085183831,Yes,2004
22698425,Thalassarche_chlororhynchos,PROCELLARIIFORMES,44,Colabuono et al. 2009,Atlantic Yellow-nosed Albatross,Brazil,-14.235004,-51.92528,Subadult/Adult,1994-2005,1994,2005,12,27,5.196152423,0.07,-2.577491418,Yes,2000
22698425,Thalassarche_chlororhynchos,PROCELLARIIFORMES,45,Colabuono et al. 2010,Atlantic Yellow-nosed Albatross,Brazil,-14.235004,-51.92528,Subadult/Adult,1991,1991,1991,1,13,3.605551275,0.08,-2.434395675,Yes,1991
22698425,Thalassarche_chlororhynchos,PROCELLARIIFORMES,46,Furness 1985a,Atlantic Yellow-nosed Albatross,Gough Island,-40.318641,-9.935332,Mixed,1983,1983,1983,1,9,3,0,-7.265129978,No,1983
22698425,Thalassarche_chlororhynchos,PROCELLARIIFORMES,47,Jiminez et al. 2015,Atlantic Yellow-nosed Albatross,SW Atlantic Ocean,-14.599413,-28.673147,Subadult/Adult,2005-2013,2005,2013,9,1,1,0,-7.265129978,No,2009
22698425,Thalassarche_chlororhynchos,PROCELLARIIFORMES,48,Petry et al. 2002,Atlantic Yellow-nosed Albatross,"Coast of Rio Grande do Sul, Brazil",-30.68603,-50.473274,Subadult/Adult,1997-1998,1997,1998,2,7,2.645751311,0.14,-1.811116048,Yes,1998
22698425,Thalassarche_chlororhynchos,PROCELLARIIFORMES,49,Ryan 1987,Atlantic Yellow-nosed Albatross,South Africa,-30.559482,22.937506,Mixed,1979-1985,1979,1985,7,87,9.327379053,0.022988506,-3.720224679,Yes,1982
22698425,Thalassarche_chlororhynchos,PROCELLARIIFORMES,50,Ryan et al. 2016,Atlantic Yellow-nosed Albatross,South Africa,-38.442178,20.988808,Subadult/Adult,2005-2015,2005,2015,11,18,4.242640687,0,-7.265129978,No,2010
22698425,Thalassarche_chlororhynchos,PROCELLARIIFORMES,51,Tavares et al. 2017,Atlantic Yellow-nosed Albatross,South-eastern Brazillian Coast (18çS to 23çS),-23.058727,-43.652171,Subadult,2012,2012,2012,1,3,1.732050808,0.67,0.707110323,Yes,2012
22698425,Thalassarche_chlororhynchos,PROCELLARIIFORMES,52,Tavares et al. 2017,Atlantic Yellow-nosed Albatross,South-eastern Brazillian Coast (18çS to 23çS),-23.058727,-43.652171,Adult,2013,2013,2013,1,3,1.732050808,0,-7.265129978,No,2013
22694313,Larus_audouinii,CHARADRIIFORMES,53,Codina-Garcia et al. 2013,Audouin's Gull,"Catalan coast, Spain",43.311099,-4.252477,Adult,2003-2010,2003,2010,8,15,3.872983346,0.13,-1.896392865,Yes,2007
22728432,Puffinus_mauretanicus,PROCELLARIIFORMES,56,Codina-Garcia et al. 2013,Balearic Shearwater,"Catalan coast, Spain",43.311099,-4.252477,Adult,2003-2010,2003,2010,8,46,6.782329983,0.7,0.845966745,Yes,2007
22696766,Phalacrocorax_neglectus,SULIFORMES,57,Ryan 1987,Bank Cormorant,South Africa,-30.559482,22.937506,Mixed,1979-1985,1979,1985,7,167,12.92284798,0.005988024,-5.00213476,Yes,1982
22680459,Bucephala_islandica,ANSERIFORMES,58,Avery-Gomm et al. 2013,Barrow's Goldeneye,"Puget Sound, WA",47.723654,-122.471335,Adult,2007,2007,2007,1,2,1.414213562,0,-7.265129978,No,2007
22680459,Bucephala_islandica,ANSERIFORMES,59,Day et al. 1984,Barrow's Goldeneye,Alaska,64.200841,-149.493673,Mixed,1977-1978,1977,1978,2,17,4.123105626,0,-7.265129978,No,1978
22694861,Cepphus_grylle,CHARADRIIFORMES,60,Acampora et al. 2016,Black Guillemot,Ireland,"52.430796,",-6.276479,Subadult/Adult,2014-2016,2014,2016,3,1,1,0,-7.265129978,No,2015
22694861,Cepphus_grylle,CHARADRIIFORMES,61,Lydersen et al. 1989,Black Guillemot,Hornsund,76.881101,15.9084,Adult,1984,1984,1984,1,20,4.472135955,0,-7.265129978,No,1984
22694861,Cepphus_grylle,CHARADRIIFORMES,62,Poon et al. 2017,Black Guillemot,"Prince Leopold Is, Canadian Arctic",74.04176,-90.032616,Adult,2013,2013,2013,1,3,1.732050808,0,-7.265129978,No,2013
