Order,Family,Subfamily,Tribe,Common_name,Binomial,Genus,IUCN_2023,Synonyms
PROCELLARIIFORMES,Procellariidae,NA,NA,Soft-plumaged Petrel,Pterodroma mollis,Pterodroma,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Bermuda Petrel,Pterodroma cahow,Pterodroma,EN,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Black-capped Petrel,Pterodroma hasitata,Pterodroma,EN,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Jamaican Petrel,Pterodroma caribbaea,Pterodroma,CR (PE),NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Cape Verde Petrel,Pterodroma feae,Pterodroma,NT,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Desertas Petrel,Pterodroma deserta,Pterodroma,VU,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Zino's Petrel,Pterodroma madeira,Pterodroma,EN,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Magenta Petrel,Pterodroma magentae,Pterodroma,CR,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Atlantic Petrel,Pterodroma incerta,Pterodroma,EN,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,White-headed Petrel,Pterodroma lessonii,Pterodroma,LC,Pterodroma lessoni
PROCELLARIIFORMES,Procellariidae,NA,NA,Great-winged Petrel,Pterodroma macroptera,Pterodroma,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Grey-faced Petrel,Pterodroma gouldi,Pterodroma,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Grey Petrel,Procellaria cinerea,Procellaria,NT,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,White-chinned Petrel,Procellaria aequinoctialis,Procellaria,VU,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Spectacled Petrel,Procellaria conspicillata,Procellaria,VU,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Westland Petrel,Procellaria westlandica,Procellaria,EN,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Black Petrel,Procellaria parkinsoni,Procellaria,VU,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Wedge-tailed Shearwater,Ardenna pacifica,Ardenna,LC,Ardenna pacifica; Puffinus pacificus
PROCELLARIIFORMES,Procellariidae,NA,NA,Buller's Shearwater,Ardenna bulleri,Ardenna,VU,Puffinus bulleri
PROCELLARIIFORMES,Procellariidae,NA,NA,Short-tailed Shearwater,Ardenna tenuirostris,Ardenna,LC,Ardenna tenuirostris; Puffinus tenuirostris
PROCELLARIIFORMES,Procellariidae,NA,NA,Sooty Shearwater,Ardenna grisea,Ardenna,NT,Ardenna grisea; Puffinus griseus
PROCELLARIIFORMES,Procellariidae,NA,NA,Great Shearwater,Ardenna gravis,Ardenna,LC,Ardenna gravis; Puffinus gravis
PROCELLARIIFORMES,Procellariidae,NA,NA,Flesh-footed Shearwater,Ardenna carneipes,Ardenna,NT,Ardenna carneipes; Puffinus carneipes
PROCELLARIIFORMES,Procellariidae,NA,NA,Pink-footed Shearwater,Ardenna creatopus,Ardenna,VU,Puffinus creatopus
PROCELLARIIFORMES,Procellariidae,NA,NA,Streaked Shearwater,Calonectris leucomelas,Calonectris,NT,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Scopoli's Shearwater,Calonectris diomedea,Calonectris,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Cory's Shearwater,Calonectris borealis,Calonectris,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Cape Verde Shearwater,Calonectris edwardsii,Calonectris,NT,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Christmas Shearwater,Puffinus nativitatis,Puffinus,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Galapagos Shearwater,Puffinus subalaris,Puffinus,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Fluttering Shearwater,Puffinus gavia,Puffinus,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Hutton's Shearwater,Puffinus huttoni,Puffinus,EN,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Black-vented Shearwater,Puffinus opisthomelas,Puffinus,NT,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Bryan's Shearwater,Puffinus bryani,Puffinus,CR,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Rapa Shearwater,Puffinus myrtae,Puffinus,CR,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Newell's Shearwater,Puffinus newelli,Puffinus,CR,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Townsend's Shearwater,Puffinus auricularis,Puffinus,CR,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Tropical Shearwater,Puffinus bailloni,Puffinus,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Persian Shearwater,Puffinus persicus,Puffinus,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Bannerman's Shearwater,Puffinus bannermani,Puffinus,EN,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Manx Shearwater,Puffinus puffinus,Puffinus,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Yelkouan Shearwater,Puffinus yelkouan,Puffinus,VU,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Balearic Shearwater,Puffinus mauretanicus,Puffinus,CR,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Subantarctic Shearwater,Puffinus elegans,Puffinus,LC,NA
