HBWv8.1_Binomial,UniqueID_Plastic.study,Source,Common.name_Plastic.study,Sci.name_Plastic.study,Site,lat,lon,MarineRegion,Age.Class,Date_Text,Date_FirstYR,Date_LastYR,Date_MedianYR,Study.Duration,n,n_plastic,FO,Plastic,Sampling_method,Added_by,Comments
Ardenna carneipes,1315,Roman et al. 2019,Flesh-footed Shearwater,NA,DPIPWE-15 (location unknown),NA,NA,South Pacific Ocean,Subadult,2002,2002,2002,2002,1,7,4,0.5714,Yes,NA,SA-G,NA
Ardenna carneipes,1316,Roman et al. 2019,Flesh-footed Shearwater,NA,DPIPWE-15 (location unknown),NA,NA,South Pacific Ocean,Subadult,2003,2003,2003,2003,1,1,0,0,No,NA,SA-G,NA
Ardenna carneipes,1317,Roman et al. 2019,Flesh-footed Shearwater,NA,DPIPWE-15 (location unknown),NA,NA,South Pacific Ocean,Subadult,2007,2007,2007,2007,1,2,0,0,No,NA,SA-G,NA
Ardenna carneipes,1318,Roman et al. 2019,Flesh-footed Shearwater,NA,DPIPWE-15 (location unknown),NA,NA,South Pacific Ocean,Subadult,2008,2008,2008,2008,1,1,0,0,No,NA,SA-G,NA
Ardenna carneipes,1320,Roman et al. 2019,Flesh-footed Shearwater,NA,"New Zealand, North Island, Manu Bay",NA,NA,South Pacific Ocean,Subadult,2015,2015,2015,2015,1,1,0,0,No,NA,SA-G,NA
Ardenna carneipes,1299,Roman et al. 2019,Flesh-footed Shearwater,NA,"Australia, Western Australia",NA,NA,Indian Ocean,Subadult/Adult,2011,2011,2011,2011,1,5,0,0,No,NA,SA-G,NA
Ardenna carneipes,1300,Roman et al. 2019,Flesh-footed Shearwater,NA,"Australia, Western Australia",NA,NA,Indian Ocean,Subadult/Adult,2013,2013,2013,2013,1,7,2,0.2857,Yes,NA,SA-G,NA
Ardenna carneipes,1301,Roman et al. 2019,Flesh-footed Shearwater,NA,"Australia, Western Australia",NA,NA,Indian Ocean,Subadult/Adult,2014,2014,2014,2014,1,25,4,0.16,Yes,NA,SA-G,NA
Ardenna carneipes,1302,Roman et al. 2019,Flesh-footed Shearwater,NA,"Australia, Western Australia",NA,NA,Indian Ocean,Subadult/Adult,2015,2015,2015,2015,1,24,6,0.25,Yes,NA,SA-G,NA
Ardenna carneipes,1303,Roman et al. 2019,Flesh-footed Shearwater,NA,"Australia, Western Australia",NA,NA,Indian Ocean,Subadult/Adult,2016,2016,2016,2016,1,2,0,0,No,NA,SA-G,NA
Puffinus gavia,1147,Roman et al. 2016,Fluttering Shearwater,NA,New South Wales,-32.967658,151.732219,South Pacific Ocean,Adult,2013,2013,2013,2013,1,3,1,0.3333,Yes,NA,SA-G,NA
Puffinus gavia,1148,Roman et al. 2016,Fluttering Shearwater,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2013,2013,2013,2013,1,2,0,0,No,NA,SA-G,NA
Puffinus gavia,1324,Roman et al. 2019,Fluttering Shearwater,NA,"Australia, New South Wales",NA,NA,South Pacific Ocean,Adult,2010,2010,2010,2010,1,1,0,0,No,NA,SA-G,NA
Puffinus gavia,1325,Roman et al. 2019,Fluttering Shearwater,NA,"Australia, New South Wales",NA,NA,South Pacific Ocean,Adult,2013,2013,2013,2013,1,1,1,1,Yes,NA,SA-G,NA
Puffinus gavia,1327,Roman et al. 2019,Fluttering Shearwater,NA,"Australia, New South Wales, Byron Bay",NA,NA,South Pacific Ocean,Adult,2000,2000,2000,2000,1,1,0,0,No,NA,SA-G,NA
Puffinus gavia,1328,Roman et al. 2019,Fluttering Shearwater,NA,"Australia, Queensland, Fraser Island",NA,NA,South Pacific Ocean,Adult,2013,2013,2013,2013,1,1,0,0,No,NA,SA-G,NA
Puffinus gavia,1330,Roman et al. 2019,Fluttering Shearwater,NA,"Australia, South Australia",NA,NA,Indian Ocean,Adult,2009,2009,2009,2009,1,1,0,0,No,NA,SA-G,NA
Puffinus gavia,1336,Roman et al. 2019,Fluttering Shearwater,NA,"New Zealand, North Island, Karioitahi Beach",NA,NA,South Pacific Ocean,Adult,2016,2016,2016,2016,1,39,0,0,No,NA,SA-G,NA
Puffinus gavia,1331,Roman et al. 2019,Fluttering Shearwater,NA,"Australia, South Australia",NA,NA,Indian Ocean,Mixed,2013,2013,2013,2013,1,1,0,0,No,NA,SA-G,NA
Puffinus gavia,1332,Roman et al. 2019,Fluttering Shearwater,NA,"Australia, South Australia",NA,NA,Indian Ocean,Mixed,2016,2016,2016,2016,1,1,0,0,No,NA,SA-G,NA
Puffinus gavia,1333,Roman et al. 2019,Fluttering Shearwater,NA,"Australia, Tasmania",NA,NA,South Pacific Ocean,Mixed,2016,2016,2016,2016,1,1,1,1,Yes,NA,SA-G,NA
Puffinus gavia,1337,Roman et al. 2019,Fluttering Shearwater,NA,"New Zealand, North Island, Karioitahi Beach",NA,NA,South Pacific Ocean,Mixed,2016,2016,2016,2016,1,9,0,0,No,NA,SA-G,NA
Puffinus gavia,1146,Roman et al. 2016,Fluttering Shearwater,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Subadult,2001,2001,2001,2001,1,1,1,1,Yes,NA,SA-G,NA
Puffinus gavia,1149,Roman et al. 2016,Fluttering Shearwater,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Subadult,2013,2013,2013,2013,1,8,3,0.375,Yes,NA,SA-G,NA
Puffinus gavia,1326,Roman et al. 2019,Fluttering Shearwater,NA,"Australia, New South Wales",NA,NA,South Pacific Ocean,Subadult,2013,2013,2013,2013,1,8,3,0.375,Yes,NA,SA-G,NA
Puffinus gavia,1329,Roman et al. 2019,Fluttering Shearwater,NA,"Australia, Queensland, North Stradbroke Island",NA,NA,South Pacific Ocean,Subadult,2001,2001,2001,2001,1,1,1,1,Yes,NA,SA-G,NA
Puffinus gavia,1334,Roman et al. 2019,Fluttering Shearwater,NA,"Australia, Tasmania",NA,NA,South Pacific Ocean,Subadult,2009,2009,2009,2009,1,1,0,0,No,NA,SA-G,NA
Puffinus gavia,1335,Roman et al. 2019,Fluttering Shearwater,NA,"Australia, Victoria, Melbourne",NA,NA,Indian Ocean,Subadult,2015,2015,2015,2015,1,1,1,1,Yes,NA,SA-G,NA
Ardenna gravis,322,Brown et al. 1981,Great Shearwater,NA,Placentia Bay,47.103007,-54.185932,North Atlantic Ocean,Adult,1978,1978,1978,1978,1,20,16,0.8,Yes,NA,SA-G,NA
Ardenna gravis,326,Furness 1983,Great Shearwater,NA,"Benguela Current, SA",18.408723999999996,-34.373693,North Atlantic Ocean,Adult,1981,1981,1981,1981,1,10,9,0.9,Yes,NA,SA-G,NA
Ardenna gravis,327,Furness 1985a,Great Shearwater,NA,Gough Island,-40.318641,-9.935332,South Pacific Ocean,Adult,1983,1983,1983,1983,1,13,11,0.85,Yes,NA,SA-G,NA
Ardenna gravis,334,Randall et al. 1983,Great Shearwater,NA,Gough Island,-40.318641,-9.935332,South Pacific Ocean,Adult,1980,1980,1980,1980,1,2,2,1,Yes,NA,SA-G,NA
Ardenna gravis,337,Tavares et al. 2017,Great Shearwater,NA,South-eastern Brazillian Coast (18çS to 23çS),-23.058727,-43.652171,South Pacific Ocean,Adult,2012,2012,2012,2012,1,8,4,0.5,Yes,NA,SA-G,NA
Ardenna gravis,340,Tavares et al. 2017,Great Shearwater,NA,South-eastern Brazillian Coast (18çS to 23çS),-23.058727,-43.652171,South Pacific Ocean,Adult,2013,2013,2013,2013,1,3,1,0.33,Yes,NA,SA-G,NA
Ardenna gravis,342,Tourinho et al. 2010,Great Shearwater,NA,Rio Grande do Sul,-31.807168,-51.618266,South Pacific Ocean,Adult,2007,2007,2007,2007,1,4,3,0.75,Yes,NA,SA-G,NA
Ardenna gravis,332,Powers and Van Ga 1979,Great Shearwater,NA,Massachusetts,42.407211,-71.382437,North Atlantic Ocean,Mixed,1977,1977,1977,1977,1,NA,NA,NA,Yes,NA,SA-G,NA
Ardenna gravis,336,"Ryan, 2008",Great Shearwater,NA,Nightengale island,-37.428384,-12.479868,South Pacific Ocean,Mixed,2005,2005,2005,2005,1,53,NA,NA,Yes,NA,SA-G,NA
Ardenna gravis,339,Tavares et al. 2017,Great Shearwater,NA,South-eastern Brazillian Coast (18çS to 23çS),-23.058727,-43.652171,South Pacific Ocean,Mixed,2012,2012,2012,2012,1,3,3,1,Yes,NA,SA-G,NA
Ardenna gravis,338,Tavares et al. 2017,Great Shearwater,NA,South-eastern Brazillian Coast (18çS to 23çS),-23.058727,-43.652171,South Pacific Ocean,Subadult,2012,2012,2012,2012,1,1,1,1,Yes,NA,SA-G,NA
Ardenna gravis,341,Tavares et al. 2017,Great Shearwater,NA,South-eastern Brazillian Coast (18çS to 23çS),-23.058727,-43.652171,South Pacific Ocean,Subadult,2013,2013,2013,2013,1,1,0,0,No,NA,SA-G,NA
Ardenna gravis,325,Colabuono et al. 2010,Great Shearwater,NA,Brazil,-14.235004,-51.92528,South Pacific Ocean,Subadult/Adult,1991,1991,1991,1991,1,6,6,1,Yes,NA,SA-G,NA
Pterodroma macroptera,1140,Roman et al. 2016,Great-winged Petrel,NA,New South Wales,-32.967658,151.732219,South Pacific Ocean,Adult,2013,2013,2013,2013,1,2,0,0,No,NA,SA-G,NA
Pterodroma macroptera,1338,Roman et al. 2019,Great-winged Petrel,NA,"Australia, New South Wales",NA,NA,South Pacific Ocean,Adult,2005,2005,2005,2005,1,1,0,0,No,NA,SA-G,NA
Pterodroma macroptera,1339,Roman et al. 2019,Great-winged Petrel,NA,"Australia, New South Wales",NA,NA,South Pacific Ocean,Adult,2009,2009,2009,2009,1,1,0,0,No,NA,SA-G,NA
Pterodroma macroptera,1341,Roman et al. 2019,Great-winged Petrel,NA,"New Zealand, North Island",NA,NA,South Pacific Ocean,Adult,2015,2015,2015,2015,1,1,0,0,No,NA,SA-G,NA
Pterodroma macroptera,1340,Roman et al. 2019,Great-winged Petrel,NA,"Australia, South Australia",NA,NA,Indian Ocean,Subadult,2011,2011,2011,2011,1,1,0,0,No,NA,SA-G,NA
Procellaria cinerea,353,Robertson et al. 2004,Grey Petrel,NA,New Zealand,-46.312086,174.115693,South Pacific Ocean,Adult,2001,2001,2001,2001,1,5,1,0.2,Yes,NA,SA-G,NA
Procellaria cinerea,1342,Roman et al. 2019,Grey Petrel,NA,New Zealand,NA,NA,South Pacific Ocean,Adult,2016,2016,2016,2016,1,2,0,0,No,NA,SA-G,NA
Procellaria cinerea,1343,Roman et al. 2019,Grey Petrel,NA,"New Zealand, Aukland Island",NA,NA,South Pacific Ocean,Adult,2015,2015,2015,2015,1,3,0,0,No,NA,SA-G,NA
Procellaria cinerea,1344,Roman et al. 2019,Grey Petrel,NA,"New Zealand, Aukland Island",NA,NA,South Pacific Ocean,Mixed,2015,2015,2015,2015,1,1,0,0,No,NA,SA-G,NA
Procellaria cinerea,1345,Roman et al. 2019,Grey Petrel,NA,"New Zealand, Aukland Island",NA,NA,South Pacific Ocean,Subadult,2015,2015,2015,2015,1,1,0,0,No,NA,SA-G,NA
Pterodroma atrata,373,Imber et al. 1995,Henderson Petrel,NA,Henderson Island,-24.374377,-128.327111,South Pacific Ocean,Adult,1991,1991,1991,1991,1,29,0,0,No,NA,SA-G,NA
Puffinus huttoni,1150,Roman et al. 2016,Hutton's Shearwater,NA,New South Wales,-32.967658,151.732219,South Pacific Ocean,Adult,2013,2013,2013,2013,1,2,0,0,No,NA,SA-G,NA
Puffinus huttoni,1351,Roman et al. 2019,Hutton's Shearwater,NA,"Australia, New South Wales",NA,NA,South Pacific Ocean,Adult,2005,2005,2005,2005,1,1,0,0,No,NA,SA-G,NA
Puffinus huttoni,1352,Roman et al. 2019,Hutton's Shearwater,NA,"Australia, New South Wales",NA,NA,South Pacific Ocean,Adult,2010,2010,2010,2010,1,1,0,0,No,NA,SA-G,NA
Puffinus huttoni,1354,Roman et al. 2019,Hutton's Shearwater,NA,"New Zealand, North Island, Aukland",NA,NA,South Pacific Ocean,Adult,2014,2014,2014,2014,1,1,0,0,No,NA,SA-G,NA
Puffinus huttoni,1353,Roman et al. 2019,Hutton's Shearwater,NA,"Australia, Western Australia",NA,NA,Indian Ocean,Subadult,2014,2014,2014,2014,1,1,0,0,No,NA,SA-G,NA
Aphrodroma brevirostris,1355,Roman et al. 2019,Kerguelen Petrel,NA,"Australia, Tasmania",NA,NA,South Pacific Ocean,Adult,2016,2016,2016,2016,1,1,1,1,Yes,NA,SA-G,NA
Aphrodroma brevirostris,403,Brown et al. 1986,Kerguelen Petrel,NA,"Victoria, Australia",NA,NA,Indian Ocean,Mixed,1984,1984,1984,1984,1,NA,NA,NA,Yes,NA,SA-G,NA
Aphrodroma brevirostris,404,Furness 1985a,Kerguelen Petrel,NA,Gough Island,-40.318641,-9.935332,South Pacific Ocean,Mixed,1983,1983,1983,1983,1,13,1,0.076923077,Yes,NA,SA-G,NA
Aphrodroma brevirostris,1357,Roman et al. 2019,Kerguelen Petrel,NA,"New Zealand, North Island, Aukland",NA,NA,South Pacific Ocean,Mixed,2015,2015,2015,2015,1,1,0,0,No,NA,SA-G,NA
Aphrodroma brevirostris,1356,Roman et al. 2019,Kerguelen Petrel,NA,"Australia, Western Australia",NA,NA,Indian Ocean,Subadult,2016,2016,2016,2016,1,1,0,0,No,NA,SA-G,NA
Aphrodroma brevirostris,402,Ainley et al. 1990a,Kerguelen Petrel,NA,Weddell Sea,-69.951182,-50.273438,Southern Ocean,Subadult/Adult,1976-1988,1986,1986,1986,1,9,2,0.23,Yes,NA,SA-G,NA
Aphrodroma brevirostris,405,Reed 1981,Kerguelen Petrel,NA,New Zealand,-40.900557,174.885971,South Pacific Ocean,Subadult/Adult,1981,1981,1981,1981,1,26,1,0.04,Yes,NA,SA-G,NA
Pterodroma neglecta,408,Imber et al. 1995,Kermadec Petrel,NA,Pitcairn Island,-24.376754,-128.324238,South Pacific Ocean,Adult,1991,1991,1991,1991,1,27,2,0.07,Yes,NA,SA-G,NA
Puffinus assimilis,1142,Roman et al. 2016,Little Shearwater,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2000,2000,2000,2000,1,1,1,1,Yes,NA,SA-G,NA
Puffinus assimilis,1143,Roman et al. 2016,Little Shearwater,NA,New South Wales,-32.967658,151.732219,South Pacific Ocean,Adult,2013,2013,2013,2013,1,2,0,0,No,NA,SA-G,NA
Puffinus assimilis,1144,Roman et al. 2016,Little Shearwater,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2013,2013,2013,2013,1,1,1,1,Yes,NA,SA-G,NA
Puffinus assimilis,1360,Roman et al. 2019,Little Shearwater,NA,"Australia, New South Wales",NA,NA,South Pacific Ocean,Adult,1998,1998,1998,1998,1,1,0,0,No,NA,SA-G,NA
Puffinus assimilis,1361,Roman et al. 2019,Little Shearwater,NA,"Australia, New South Wales",NA,NA,South Pacific Ocean,Adult,2008,2008,2008,2008,1,1,0,0,No,NA,SA-G,NA
Puffinus assimilis,1362,Roman et al. 2019,Little Shearwater,NA,"Australia, Queensland, Fraser Island",NA,NA,South Pacific Ocean,Adult,2000,2000,2000,2000,1,1,1,1,Yes,NA,SA-G,NA
Puffinus assimilis,1363,Roman et al. 2019,Little Shearwater,NA,"Australia, Queensland, Fraser Island",NA,NA,South Pacific Ocean,Adult,2013,2013,2013,2013,1,1,1,1,Yes,NA,SA-G,NA
Puffinus assimilis,1367,Roman et al. 2019,Little Shearwater,NA,"New Zealand, Raoul Island",NA,NA,South Pacific Ocean,Adult,2011,2011,2011,2011,1,1,0,0,No,NA,SA-G,NA
Puffinus assimilis,477,Furness 1985a,Little Shearwater,NA,Gough Island,-40.318641,-9.935332,South Pacific Ocean,Mixed,1983,1983,1983,1983,1,13,1,0.076923077,Yes,NA,SA-G,NA
Puffinus assimilis,1364,Roman et al. 2019,Little Shearwater,NA,"Australia, Tasmania",NA,NA,South Pacific Ocean,Subadult,2009,2009,2009,2009,1,1,0,0,No,NA,SA-G,NA
Puffinus assimilis,1365,Roman et al. 2019,Little Shearwater,NA,"New Zealand, North Island, Aukland",NA,NA,South Pacific Ocean,Subadult,2011,2011,2011,2011,1,1,1,1,Yes,NA,SA-G,NA
Puffinus assimilis,1366,Roman et al. 2019,Little Shearwater,NA,"New Zealand, North Island, Aukland",NA,NA,South Pacific Ocean,Subadult,2012,2012,2012,2012,1,1,1,1,Yes,NA,SA-G,NA
Puffinus puffinus,512,Tavares et al. 2017,Manx Shearwater,NA,South-eastern Brazillian Coast (18çS to 23çS),-23.058727,-43.652171,South Pacific Ocean,Adult,2012,2012,2012,2012,1,21,1,0.05,Yes,NA,SA-G,NA
Puffinus puffinus,514,Tavares et al. 2017,Manx Shearwater,NA,South-eastern Brazillian Coast (18çS to 23çS),-23.058727,-43.652171,South Pacific Ocean,Adult,2013,2013,2013,2013,1,3,0,0,No,NA,SA-G,NA
Puffinus puffinus,516,Tourinho et al. 2010,Manx Shearwater,NA,Rio Grande do Sul,-31.807168,-51.618266,South Pacific Ocean,Adult,2007,2007,2007,2007,1,5,3,0.63,Yes,NA,SA-G,NA
Puffinus puffinus,509,Furness 1985a,Manx Shearwater,NA,"Rhum, Hebrides",57.009474,-6.32387,North Atlantic Ocean,Mixed,1984,1984,1984,1984,1,10,3,0.3,Yes,NA,SA-G,NA
Puffinus puffinus,511,Tavares et al. 2017,Manx Shearwater,NA,South-eastern Brazillian Coast (18çS to 23çS),-23.058727,-43.652171,South Pacific Ocean,Mixed,2011,2011,2011,2011,1,1,1,1,Yes,NA,SA-G,NA
Puffinus puffinus,513,Tavares et al. 2017,Manx Shearwater,NA,South-eastern Brazillian Coast (18çS to 23çS),-23.058727,-43.652171,South Pacific Ocean,Mixed,2012,2012,2012,2012,1,5,2,0.4,Yes,NA,SA-G,NA
Puffinus puffinus,515,Tavares et al. 2017,Manx Shearwater,NA,South-eastern Brazillian Coast (18çS to 23çS),-23.058727,-43.652171,South Pacific Ocean,Subadult,2013,2013,2013,2013,1,1,0,0,No,NA,SA-G,NA
Puffinus puffinus,508,Colabuono et al. 2010,Manx Shearwater,NA,Brazil,-14.235004,-51.92528,South Pacific Ocean,Subadult/Adult,1991,1991,1991,1991,1,6,1,0.17,Yes,NA,SA-G,NA
Pterodroma inexpectata,1368,Roman et al. 2019,Mottled Petrel,NA,"New Zealand, North Island, Karioitahi Beach",NA,NA,South Pacific Ocean,Adult,2015,2015,2015,2015,1,1,0,0,No,NA,SA-G,NA
Pterodroma inexpectata,1369,Roman et al. 2019,Mottled Petrel,NA,"New Zealand, North Island, Karioitahi Beach",NA,NA,South Pacific Ocean,Adult,2016,2016,2016,2016,1,1,1,1,Yes,NA,SA-G,NA
Pterodroma inexpectata,1370,Roman et al. 2019,Mottled Petrel,NA,"New Zealand, South Island, Oreti Beach",NA,NA,South Pacific Ocean,Adult,2015,2015,2015,2015,1,1,0,0,No,NA,SA-G,NA
Pterodroma ultima,541,Imber et al. 1995,Murphy's Petrel,NA,Pitcairn Island,-24.376754,-128.324238,South Pacific Ocean,Adult,1991,1991,1991,1991,1,37,6,0.16,Yes,NA,SA-G,NA
Fulmarus glacialis,552,Blight and Burger 1997,Northern Fulmar,NA,North Pacific,45.522224,-122.679826,North Pacific Ocean,Adult,1987,1987,1987,1987,1,3,3,1,Yes,NA,SA-G,NA
Fulmarus glacialis,556,Donnelly-Greenan et al. 2014,Northern Fulmar,NA,"Monterey Bay, CA",36.800740999999995,-121.947311,North Pacific Ocean,Adult,2003,2003,2003,2003,1,178,134,0.75,Yes,NA,SA-G,NA
Fulmarus glacialis,557,Donnelly-Greenan et al. 2014,Northern Fulmar,NA,"Monterey Bay, CA",36.800740999999995,-121.947311,North Pacific Ocean,Adult,2007,2007,2007,2007,1,185,181,0.98,Yes,NA,SA-G,NA
Fulmarus glacialis,558,Furness 1985b,Northern Fulmar,NA,"Dun, St. Kilda",57.79837300000001,-8.566646,North Atlantic Ocean,Adult,1983,1983,1983,1983,1,8,4,0.5,Yes,NA,SA-G,NA
Fulmarus glacialis,561,Kuhn and van Franeker 2012,Northern Fulmar,NA,"Westfjords, Iceland",65.91961500000002,-21.881176,Arctic Ocean,Adult,2011,2011,2011,2011,1,49,40,0.82,Yes,NA,SA-G,NA
Fulmarus glacialis,563,Lydersen et al. 1989,Northern Fulmar,NA,Hornsund,76.881101,15.9084,Arctic Ocean,Adult,1984,1984,1984,1984,1,20,3,0.15,Yes,NA,SA-G,NA
Fulmarus glacialis,564,Mallory 2008,Northern Fulmar,NA,Cape Vera,76.271246,-89.254273,Arctic Ocean,Adult,2004,2004,2004,2004,1,102,32,0.31,Yes,NA,SA-G,NA
Fulmarus glacialis,565,Mallory et al. 2006,Northern Fulmar,NA,Canadian High Arctic,67.31666700000001,-58.483333,Arctic Ocean,Adult,2002,2002,2002,2002,1,42,15,0.36,Yes,NA,SA-G,NA
Fulmarus glacialis,568,Poon et al. 2017,Northern Fulmar,NA,"Prince Leopold Is, Canadian Arctic",74.04176000000001,-90.032616,Arctic Ocean,Adult,2008,2008,2008,2008,1,10,8,0.8,Yes,NA,SA-G,NA
Fulmarus glacialis,569,Poon et al. 2017,Northern Fulmar,NA,"Prince Leopold Is, Canadian Arctic",74.04176000000001,-90.032616,Arctic Ocean,Adult,2013,2013,2013,2013,1,9,8,0.89,Yes,NA,SA-G,NA
Fulmarus glacialis,570,Provencher et al. 2009,Northern Fulmar,NA,Cape Searle,67.233333,-62.466667,Arctic Ocean,Adult,2008,2008,2008,2008,1,5,4,0.8,Yes,NA,SA-G,NA
Fulmarus glacialis,572,Provencher et al. 2009,Northern Fulmar,NA,"Prince Leopold Is, Canadian Arctic",74.04176000000001,-90.032616,Arctic Ocean,Adult,2008,2008,2008,2008,1,4,3,0.75,Yes,NA,SA-G,NA
Fulmarus glacialis,577,Trevail et al. 2015,Northern Fulmar,NA,"Isfjord, Svalbard",78.37384399999999,16.121063,Arctic Ocean,Adult,2013,2013,2013,2013,1,40,35,0.875,Yes,NA,SA-G,NA
Fulmarus glacialis,574,Provencher et al. 2014,Northern Fulmar,NA,Faroe Islands,61.892635000000006,-6.911806,North Atlantic Ocean,Mixed,1997,1997,1997,1997,1,35,18,0.51,Yes,NA,SA-G,NA
Fulmarus glacialis,579,van Franeker and Camphuysen 1984,Northern Fulmar,NA,Jan Mayen Is,71.031818,-8.292035,Arctic Ocean,Mixed,1983,1983,1983,1983,1,29,22,0.76,Yes,NA,SA-G,NA
Fulmarus glacialis,562,Kuhn and van Franeker 2012,Northern Fulmar,NA,"Westfjords, Iceland",65.91961500000002,-21.881176,North Atlantic Ocean,Nest-bound,2011,2011,2011,2011,1,9,6,0.67,Yes,NA,SA-G,NA
Fulmarus glacialis,571,Provencher et al. 2009,Northern Fulmar,NA,Cape Searle,67.233333,-62.466667,Arctic Ocean,Subadult,2008,2008,2008,2008,1,10,9,0.9,Yes,NA,SA-G,NA
Fulmarus glacialis,573,Provencher et al. 2009,Northern Fulmar,NA,"Prince Leopold Is, Canadian Arctic",74.04176000000001,-90.032616,Arctic Ocean,Subadult,2008,2008,2008,2008,1,6,5,0.8333,Yes,NA,SA-G,NA
Fulmarus glacialis,559,Furness 1985b,Northern Fulmar,NA,"Foula, Shetland",60.131266999999994,-2.069541,North Atlantic Ocean,Subadult/Adult,1983,1983,1983,1983,1,13,12,0.925,Yes,NA,SA-G,NA
Macronectes halli,593,Robertson et al. 2004,Northern Giant Petrel,NA,New Zealand,-46.312086,174.115693,South Pacific Ocean,Adult,1998,1998,1998,1998,1,4,1,0.25,Yes,NA,SA-G,NA
Macronectes halli,1104,Roman et al. 2016,Northern Giant Petrel,NA,New South Wales,-32.967658,151.732219,South Pacific Ocean,Adult,2013,2013,2013,2013,1,1,1,1,Yes,NA,SA-G,NA
Macronectes halli,1372,Roman et al. 2019,Northern Giant Petrel,NA,"New Zealand, North Island, Offshore 30 km northwest of Mt Taranaki",NA,NA,South Pacific Ocean,Adult,2015,2015,2015,2015,1,1,1,1,Yes,NA,SA-G,NA
Macronectes halli,1373,Roman et al. 2019,Northern Giant Petrel,NA,"New Zealand, North Island, Wellington",NA,NA,South Pacific Ocean,Mixed,2016,2016,2016,2016,1,1,0,0,No,NA,SA-G,NA
Macronectes halli,1371,Roman et al. 2019,Northern Giant Petrel,NA,"Australia, Queensland, Fraser Island",NA,NA,South Pacific Ocean,Subadult,2015,2015,2015,2015,1,1,0,0,No,NA,SA-G,NA
Pterodroma solandri,1141,Roman et al. 2016,Providence Petrel,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2013,2013,2013,2013,1,1,0,0,No,NA,SA-G,NA
Pterodroma solandri,635,Bester et al. 2010,Providence Petrel,NA,Lord Howe Island,-31.555326,159.082121,South Pacific Ocean,Nest-bound,2001,2001,2001,2001,1,61,7,0.112,Yes,NA,SA-G,NA
Pachyptila salvini,1116,Roman et al. 2016,Medium-billed Prion,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2002,2002,2002,2002,1,2,1,0.5,Yes,NA,SA-G,NA
Pachyptila salvini,1117,Roman et al. 2016,Medium-billed Prion,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2008,2008,2008,2008,1,1,1,1,Yes,NA,SA-G,NA
Pachyptila salvini,1118,Roman et al. 2016,Medium-billed Prion,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2013,2013,2013,2013,1,1,1,1,Yes,NA,SA-G,NA
Pachyptila salvini,1384,Roman et al. 2019,Salvin's Prion,NA,"Australia, Queensland, Fraser Island",NA,NA,South Pacific Ocean,Adult,2002,2002,2002,2002,1,2,1,0.5,Yes,NA,SA-G,NA
Pachyptila salvini,1385,Roman et al. 2019,Salvin's Prion,NA,"Australia, Queensland, Fraser Island",NA,NA,South Pacific Ocean,Adult,2008,2008,2008,2008,1,1,1,1,Yes,NA,SA-G,NA
Pachyptila salvini,1386,Roman et al. 2019,Salvin's Prion,NA,"New Zealand, North Island, Karioitahi Beach",NA,NA,South Pacific Ocean,Mixed,2016,2016,2016,2016,1,6,3,0.5,Yes,NA,SA-G,NA
Pachyptila salvini,1388,Roman et al. 2019,Salvin's Prion,NA,"New Zealand, North Island, Manu Bay",NA,NA,South Pacific Ocean,Mixed,2016,2016,2016,2016,1,4,3,0.75,Yes,NA,SA-G,NA
Pachyptila salvini,1387,Roman et al. 2019,Salvin's Prion,NA,"New Zealand, North Island, Karioitahi Beach",NA,NA,South Pacific Ocean,Subadult,2016,2016,2016,2016,1,8,7,0.875,Yes,NA,SA-G,NA
Pachyptila salvini,1389,Roman et al. 2019,Salvin's Prion,NA,"New Zealand, North Island, Manu Bay",NA,NA,South Pacific Ocean,Subadult,2016,2016,2016,2016,1,2,1,0.5,Yes,NA,SA-G,NA
Calonectris diomedea,232,Tavares et al. 2017,Cory's Shearwater,NA,South-eastern Brazillian Coast (18çS to 23çS),-23.058727,-43.652171,South Pacific Ocean,Adult,2011,2011,2011,2011,1,1,0,0,No,NA,SA-G,NA
Calonectris diomedea,233,Tavares et al. 2017,Cory's Shearwater,NA,South-eastern Brazillian Coast (18çS to 23çS),-23.058727,-43.652171,South Pacific Ocean,Adult,2012,2012,2012,2012,1,2,1,0.5,Yes,NA,SA-G,NA
Calonectris diomedea,234,Tavares et al. 2017,Cory's Shearwater,NA,South-eastern Brazillian Coast (18çS to 23çS),-23.058727,-43.652171,South Pacific Ocean,Adult,2013,2013,2013,2013,1,19,3,0.16,Yes,NA,SA-G,NA
