Clements2024_Order,Clements2024_Family,Clements2024_Common_name,Clements2024_Binomial,Clements2024_Genus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Australian Tern,Gelochelidon macrotarsa,Gelochelidon
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Caspian Tern,Hydroprogne caspia,Hydroprogne
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Inca Tern,Larosterna inca,Larosterna
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Whiskered Tern,Chlidonias hybrida,Chlidonias
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Black-fronted Tern,Chlidonias albostriatus,Chlidonias
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Black Tern,Chlidonias niger,Chlidonias
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",White-winged Tern,Chlidonias leucopterus,Chlidonias
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",River Tern,Sterna aurantia,Sterna
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Forster's Tern,Sterna forsteri,Sterna
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Snowy-crowned Tern,Sterna trudeaui,Sterna
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Arctic Tern,Sterna paradisaea,Sterna
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",South American Tern,Sterna hirundinacea,Sterna
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Antarctic Tern,Sterna vittata,Sterna
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Kerguelen Tern,Sterna virgata,Sterna
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Common Tern,Sterna hirundo,Sterna
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",White-cheeked Tern,Sterna repressa,Sterna
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Black-naped Tern,Sterna sumatrana,Sterna
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Roseate Tern,Sterna dougallii,Sterna
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",White-fronted Tern,Sterna striata,Sterna
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Black-bellied Tern,Sterna acuticauda,Sterna
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sandwich Tern,Thalasseus sandvicensis,Thalasseus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Elegant Tern,Thalasseus elegans,Thalasseus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Lesser Crested Tern,Thalasseus bengalensis,Thalasseus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",West African Crested Tern,Thalasseus albididorsalis,Thalasseus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Royal Tern,Thalasseus maximus,Thalasseus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Great Crested Tern,Thalasseus bergii,Thalasseus
