Clements2024_Binomial,Order,Family,Genus,Common.Name,Feeding.method,Diet,Fish,Cephalopods,Crustaceans,Other.Inverts,Carrion,Anthropogenic.Subsidy,Pelagic.Specialist,Body.Mass.g,AS.Fishery,AS.Refuse,AS.Agriculture
Larus marinus,Charadriiformes,Laridae,Larus,Great Black-backed Gull,Aerial.Pursuit,Carrion.NonFishVertebrates,Yes,No,No,Yes,Yes,Yes,Yes,1658.5,Yes,Yes,No
Ichthyaetus melanocephalus,Charadriiformes,Laridae,Ichthyaetus,Mediterranean Gull,Surface.Seizing,Other.Inverts,Yes,No,Yes,Yes,Yes,Yes,No,282.5,No,No,Yes
Larus michahellis,Charadriiformes,Laridae,Larus,Yellow-legged Gull,Plunging,Fish,Yes,No,No,Yes,Yes,Yes,No,1000,Yes,No,No
Leucophaeus modestus,Charadriiformes,Laridae,Leucophaeus,Gray Gull,Plunging,Crustaceans,Yes,No,Yes,Yes,No,Yes,No,344,Yes,No,No
Chroicocephalus novaehollandiae,Charadriiformes,Laridae,Chroicocephalus,Silver Gull,Surface.Seizing,Crustaceans,Yes,Yes,Yes,Yes,Yes,Yes,No,288.5,Yes,Yes,No
Larus occidentalis,Charadriiformes,Laridae,Larus,Western Gull,Surface.Seizing,Fish,Yes,No,Yes,Yes,Yes,No,Yes,931.5,No,No,No
Larus pacificus,Charadriiformes,Laridae,Larus,Pacific Gull,Scavenging,Fish,Yes,Yes,No,Yes,Yes,Yes,Yes,1313.5,Yes,No,No
Chroicocephalus philadelphia,Charadriiformes,Laridae,Chroicocephalus,Bonaparte's Gull,Surface.Seizing,Fish,Yes,No,No,Yes,Yes,No,No,211,No,No,No
Leucophaeus pipixcan,Charadriiformes,Laridae,Leucophaeus,Franklin's Gull,Surface.Seizing,Other.Inverts,Yes,No,Yes,Yes,Yes,Yes,No,280,Yes,Yes,No
Ichthyaetus relictus,Charadriiformes,Laridae,Ichthyaetus,Relict Gull,Surface.Seizing,Other.Inverts,Yes,No,Yes,Yes,Yes,No,No,491,No,No,No
Chroicocephalus ridibundus,Charadriiformes,Laridae,Chroicocephalus,Black-headed Gull,Surface.Seizing,Crustaceans,Yes,No,Yes,Yes,Yes,Yes,No,260,No,Yes,No
Larus schistisagus,Charadriiformes,Laridae,Larus,Slaty-backed Gull,Plunging,Fish,Yes,No,Yes,Yes,Yes,Yes,Yes,1323,Yes,No,No
Leucophaeus scoresbii,Charadriiformes,Laridae,Leucophaeus,Dolphin Gull,Scavenging,Carrion.NonFishVertebrates,Yes,No,Yes,Yes,Yes,Yes,No,524.25,Yes,No,No
Chroicocephalus serranus,Charadriiformes,Laridae,Chroicocephalus,Andean Gull,Surface.Seizing,Other.Inverts,Yes,No,No,Yes,Yes,Yes,No,478,Yes,No,No
Larus smithsonianus,Charadriiformes,Laridae,Larus,American Herring Gull,Surface.Seizing,Fish,Yes,No,Yes,Yes,Yes,Yes,No,1085,Yes,Yes,No
Leucocarbo atriceps,Suliformes,Phalacrocoracidae,Leucocarbo,Imperial Cormorant,Diving,Fish,Yes,Yes,Yes,Yes,No,No,Yes,2491,No,No,No
Leucocarbo bougainvilliorum,Suliformes,Phalacrocoracidae,Leucocarbo,Guanay Cormorant,Diving,Fish,Yes,No,No,No,No,No,No,NA,No,No,No
Leucocarbo campbelli,Suliformes,Phalacrocoracidae,Leucocarbo,Campbell Islands Shag,Diving,Fish,Yes,No,No,Yes,No,No,Yes,1900,No,No,No
