,Reference,DOI,CodeCitation,Year,Ecosystem,Habitat,Country,Biological.group,Mean_size,UIS,ML,Size_variance,Variance_type,Min_length,Max_length,Starting_month,Starting_year,Final_month,Final_year,Sampling_frequency,Sampling_method,Organ_content,N.sampling.unit,N.organisms,TotalMiP,TotalMeP,TotalMaP,TotalPD,FO_PD,NF_PD,FW_PD,Dead,Fragments,Fibers_thread,Pellets,Beads_granule,Foam,Film_sheet,Paintchips,Other_types,Type_unit,Average.Size_PD,Min.Size_PD,Max.size_PD,Size.variance_PD,Variance_type.1,Size_unit,Area_PD,Area_unit,Mass_PD,Volume_PD,Blue,White,Transparent,Gray,Black,Yellow,Brown,PinkPurple,Orange,Red,Green,Colored,Other_colors,Color_unit,Polymer1,Polymer1.items,Polymer2,Polymer2.items,Polymer3,Polymer3.items,Polymer4,Polymer4.items,Polymer5,Polymer5.items,Polymer6,Polymer6.items,Polymer7,Polymer7.items,Polymer8,Polymer8.items,Polymer9,Polymer9.items,Polymer10,Polymer10.items,Polymer11,Polymer11.items,Polymer12,Polymer12.items,Other_Polymers,Other_PolymersItems,Polymer_unit,QAQC_protocol,Extraction_method,Polymeric_analysis,Obs,species,kingdom,subkingdom,infrakingdom,class,order,family,genus,phylum,Lat,Lon,common.name,TotalP
4723,"Roman et al., 2020",10.1111/conl.12785,MPB00939,2020,Coastal,Coastal/Beach,Australia,Birds,NA,,,NA,,NA,NA,,2001,,2020,Occasionally,Necropsy,GIT,7,7,NA,NA,NA,NA,NA,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,Geographic coordinate estimated,Thalassarche chrysostoma,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Diomedeidae,Thalassarche,Chordata,-32.96349286,152.3094527,Grey-headed albatross,0
4724,"Roman et al., 2020",10.1111/conl.12785,MPB00939,2020,Coastal,Coastal/Beach,Australia,Birds,NA,,,NA,,NA,NA,,2001,,2020,Occasionally,Necropsy,GIT,7,7,NA,NA,NA,NA,NA,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,Geographic coordinate estimated,Thalassarche chrysostoma,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Diomedeidae,Thalassarche,Chordata,-37.40340256,174.4677256,Grey-headed albatross,0
4725,"Roman et al., 2020",10.1111/conl.12785,MPB00939,2020,Coastal,Coastal/Beach,Australia,Birds,NA,,,NA,,NA,NA,,2001,,2020,Occasionally,Necropsy,GIT,17,17,NA,NA,NA,NA,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,Geographic coordinate estimated,Thalassarche eremita,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Diomedeidae,Thalassarche,Chordata,-32.96349286,152.3094527,,0
4726,"Roman et al., 2020",10.1111/conl.12785,MPB00939,2020,Coastal,Coastal/Beach,Australia,Birds,NA,,,NA,,NA,NA,,2001,,2020,Occasionally,Necropsy,GIT,17,17,NA,NA,NA,NA,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,Geographic coordinate estimated,Thalassarche eremita,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Diomedeidae,Thalassarche,Chordata,-37.40340256,174.4677256,,0
4727,"Roman et al., 2020",10.1111/conl.12785,MPB00939,2020,Coastal,Coastal/Beach,Australia,Birds,NA,,,NA,,NA,NA,,2001,,2020,Occasionally,Necropsy,GIT,5,5,NA,NA,NA,NA,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,Geographic coordinate estimated,Thalassarche salvini,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Diomedeidae,Thalassarche,Chordata,-32.96349286,152.3094527,,0
4728,"Roman et al., 2020",10.1111/conl.12785,MPB00939,2020,Coastal,Coastal/Beach,Australia,Birds,NA,,,NA,,NA,NA,,2001,,2020,Occasionally,Necropsy,GIT,5,5,NA,NA,NA,NA,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,Geographic coordinate estimated,Thalassarche salvini,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Diomedeidae,Thalassarche,Chordata,-37.40340256,174.4677256,,0
4729,"Roman et al., 2020",10.1111/conl.12785,MPB00939,2020,Coastal,Coastal/Beach,Australia,Birds,NA,,,NA,,NA,NA,,2001,,2020,Occasionally,Necropsy,GIT,6,6,NA,NA,NA,NA,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,Geographic coordinate estimated,Thalassarche steadi,Metazoa,,,Aves,Procellariiformes,Diomedeidae,Thalassarche,Chordata,-32.96349286,152.3094527,,0
4730,"Roman et al., 2020",10.1111/conl.12785,MPB00939,2020,Coastal,Coastal/Beach,Australia,Birds,NA,,,NA,,NA,NA,,2001,,2020,Occasionally,Necropsy,GIT,6,6,NA,NA,NA,NA,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,Geographic coordinate estimated,Thalassarche steadi,Metazoa,,,Aves,Procellariiformes,Diomedeidae,Thalassarche,Chordata,-37.40340256,174.4677256,,0
4744,"Rossi et al., 2019",10.1016/j.marpolbul.2018.11.051,MPB00543,2019,Coastal,Beach,Brazil,Birds,NA,,,NA,,NA,NA,October,2007,October,2015,Monthly,Necropsy,Gizzard/Proventriculus,24,24,NA,NA,NA,NA,100,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,,Haematopus palliatus,Animalia,Bilateria,Deuterostomia,Aves,Charadriiformes,Haematopodidae,Haematopus,Chordata,-30.25,-50.23333333,American oystercatcher,0
4745,"Rossi et al., 2019",10.1016/j.marpolbul.2018.11.051,MPB00543,2019,Coastal,Beach,Brazil,Birds,NA,,,NA,,NA,NA,October,2007,October,2015,Monthly,Necropsy,Gizzard/Proventriculus,24,24,NA,NA,NA,NA,100,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,,Haematopus palliatus,Animalia,Bilateria,Deuterostomia,Aves,Charadriiformes,Haematopodidae,Haematopus,Chordata,-31.18333333,-50.83333333,American oystercatcher,0
4772,"Ryan and Fraser, 1988",10.1071/MU9880016,MPB00025,1988,Island,Island,UK,Birds,NA,,,NA,,NA,NA,October,1982,January,1983,,Bolus,,483,NA,NA,NA,NA,NA,22,NA,NA,No,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,,Stercorarius skua,Animalia,Bilateria,Deuterostomia,Aves,Charadriiformes,Stercorariidae,Stercorarius,Chordata,-37.25,-12.5,great skua,0
4773,"Ryan and Jackson, 1987",,MPB00020,1987,Island,Island,South Africa,Birds,NA,,,NA,,NA,NA,April,1985,April,1985,,Necropsy,Stomach,7,7,NA,NA,NA,NA,100,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,,Procellaria aequinoctialis,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Procellariidae,Procellaria,Chordata,-46.86666667,37.85,,0
4774,"Ryan et al., 1988",10.1016/0025-326X(88)90674-1,MPB00022,1988,Island,Island,UK,Birds,NA,,,NA,,NA,NA,November,1984,November,1984,,Necropsy,Stomach,20,20,NA,NA,NA,NA,95,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,,Ardenna gravis,Metazoa,,,Aves,Procellariiformes,Procellariidae,Ardenna,Chordata,-40.35,-9.88333333,Great shearwater,0
4779,"Ryan et al., 2016",10.1016/j.marpolbul.2016.01.032,MPB00281,2016,Offshore Waters,Island,South Africa,Birds,NA,,,NA,,NA,NA,,2005,,2015,,Necropsy,Stomach,5,5,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,,Diomedea dabbenena,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Diomedeidae,Diomedea,Chordata,NA,NA,,0
4780,"Ryan et al., 2016",10.1016/j.marpolbul.2016.01.032,MPB00281,2016,Offshore Waters,Island,South Africa,Birds,NA,,,NA,,NA,NA,,2005,,2015,,Necropsy,Stomach,5,5,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,,Diomedea dabbenena,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Diomedeidae,Diomedea,Chordata,NA,NA,,0
4781,"Ryan et al., 2016",10.1016/j.marpolbul.2016.01.032,MPB00281,2016,Offshore Waters,Island,South Africa,Birds,NA,,,NA,,NA,NA,,2005,,2015,,Necropsy,Stomach,6,6,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,,Diomedea epomophora,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Diomedeidae,Diomedea,Chordata,NA,NA,,0
4782,"Ryan et al., 2016",10.1016/j.marpolbul.2016.01.032,MPB00281,2016,Offshore Waters,Island,South Africa,Birds,NA,,,NA,,NA,NA,,2005,,2015,,Necropsy,Stomach,6,6,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,,Diomedea epomophora,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Diomedeidae,Diomedea,Chordata,NA,NA,,0
4783,"Ryan et al., 2016",10.1016/j.marpolbul.2016.01.032,MPB00281,2016,Offshore Waters,Island,South Africa,Birds,NA,,,NA,,NA,NA,,2005,,2015,,Necropsy,Stomach,4,4,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,,Diomedea exulans,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Diomedeidae,Diomedea,Chordata,NA,NA,Wandering albatross,0
4784,"Ryan et al., 2016",10.1016/j.marpolbul.2016.01.032,MPB00281,2016,Offshore Waters,Island,South Africa,Birds,NA,,,NA,,NA,NA,,2005,,2015,,Necropsy,Stomach,4,4,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,,Diomedea exulans,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Diomedeidae,Diomedea,Chordata,NA,NA,Wandering albatross,0
4785,"Ryan et al., 2016",10.1016/j.marpolbul.2016.01.032,MPB00281,2016,Offshore Waters,Offshore Waters,South Africa,Birds,NA,,,NA,,NA,NA,,2005,,2015,,Necropsy,Stomach,77,77,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,,Thalassarche carteri,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Diomedeidae,Thalassarche,Chordata,NA,NA,Indian yellow-nosed albatross,0
4786,"Ryan et al., 2016",10.1016/j.marpolbul.2016.01.032,MPB00281,2016,Offshore Waters,Offshore Waters,South Africa,Birds,NA,,,NA,,NA,NA,,2005,,2015,,Necropsy,Stomach,77,77,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,,Thalassarche carteri,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Diomedeidae,Thalassarche,Chordata,NA,NA,Indian yellow-nosed albatross,0
4787,"Ryan et al., 2016",10.1016/j.marpolbul.2016.01.032,MPB00281,2016,Offshore Waters,Island,South Africa,Birds,NA,,,NA,,NA,NA,,2005,,2015,,Necropsy,Stomach,601,601,NA,NA,NA,3,2.7,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,8,13,NA,,mm,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,Total items of plastic debris underestimated,Thalassarche cauta,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Diomedeidae,Thalassarche,Chordata,NA,NA,,3
4788,"Ryan et al., 2016",10.1016/j.marpolbul.2016.01.032,MPB00281,2016,Offshore Waters,Island,South Africa,Birds,NA,,,NA,,NA,NA,,2005,,2015,,Necropsy,Stomach,601,601,NA,NA,NA,3,2.7,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,8,13,NA,,mm,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,Total items of plastic debris underestimated,Thalassarche cauta,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Diomedeidae,Thalassarche,Chordata,NA,NA,,3
4789,"Ryan et al., 2016",10.1016/j.marpolbul.2016.01.032,MPB00281,2016,Offshore Waters,Offshore Waters,South Africa,Birds,NA,,,NA,,NA,NA,,2005,,2015,,Necropsy,Stomach,18,18,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,,Thalassarche chlororhynchos,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Diomedeidae,Thalassarche,Chordata,NA,NA,Atlantic yellow-nosed albatross,0
4790,"Ryan et al., 2016",10.1016/j.marpolbul.2016.01.032,MPB00281,2016,Offshore Waters,Offshore Waters,South Africa,Birds,NA,,,NA,,NA,NA,,2005,,2015,,Necropsy,Stomach,18,18,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,,Thalassarche chlororhynchos,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Diomedeidae,Thalassarche,Chordata,NA,NA,Atlantic yellow-nosed albatross,0
4791,"Ryan et al., 2016",10.1016/j.marpolbul.2016.01.032,MPB00281,2016,Offshore Waters,Offshore Waters,South Africa,Birds,NA,,,NA,,NA,NA,,2005,,2015,,Necropsy,Stomach,157,157,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,,Thalassarche melanophris,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Diomedeidae,Thalassarche,Chordata,NA,NA,Black-browed albatross,0
4792,"Ryan et al., 2016",10.1016/j.marpolbul.2016.01.032,MPB00281,2016,Offshore Waters,Offshore Waters,South Africa,Birds,NA,,,NA,,NA,NA,,2005,,2015,,Necropsy,Stomach,157,157,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,,Thalassarche melanophris,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Diomedeidae,Thalassarche,Chordata,NA,NA,Black-browed albatross,0
4802,"Ryan, 1986",10.1016/0025-326x(86)90326-7,MPB00011,1986,Offshore Waters,Offshore Waters,Unknown,Birds,NA,,,NA,,NA,NA,,1984,,1986,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,Geographic coordinate estimated,Unknown,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,,,Chordata,-40,30,,0
4803,"Ryan, 1987",10.1016/0269-7491(87)90197-7,MPB00015,1987,Island,Island,UK,Birds,NA,,,NA,,NA,NA,November,1984,November,1984,,Necropsy,Stomach,20,20,NA,NA,NA,NA,95,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,,Ardenna gravis,Metazoa,,,Aves,Procellariiformes,Procellariidae,Ardenna,Chordata,-40.35,-9.88333333,Great shearwater,0
4804,"Ryan, 1987",10.1016/0269-7491(87)90197-7,MPB00015,1987,Island,Island,South Africa,Birds,NA,,,NA,,NA,NA,September,1984,April,1985,Annually,Necropsy,Stomach,30,30,NA,NA,NA,NA,83.3,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,,Halobaena caerulea,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Procellariidae,Halobaena,Chordata,-46.75,37.83333333,,0
4805,"Ryan, 1987",10.1016/0141-1136(87)90028-6,MPB00016,1987,Coastal,Coastal,Unknown,Birds,NA,,,NA,,NA,NA,,1979,,1985,,Necropsy,Stomach,63,63,NA,NA,NA,25,24,NA,NA,Yes,36,8,20,0,36,0,0,0,%,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,,Aphrodroma brevirostris,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Procellariidae,Aphrodroma,Chordata,-37.25,-12.5,Kerguelen petrel,25
4806,"Ryan, 1987",10.1016/0141-1136(87)90028-6,MPB00016,1987,Coastal,Coastal,Unknown,Birds,NA,,,NA,,NA,NA,,1979,,1985,,Necropsy,Stomach,63,63,NA,NA,NA,25,24,NA,NA,Yes,36,8,20,0,36,0,0,0,%,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,,Aphrodroma brevirostris,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Procellariidae,Aphrodroma,Chordata,-40.35,-9.88333333,Kerguelen petrel,25
4807,"Ryan, 1987",10.1016/0141-1136(87)90028-6,MPB00016,1987,Coastal,Coastal,Unknown,Birds,NA,,,NA,,NA,NA,,1979,,1985,,Necropsy,Stomach,63,63,NA,NA,NA,25,24,NA,NA,Yes,36,8,20,0,36,0,0,0,%,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,,Aphrodroma brevirostris,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Procellariidae,Aphrodroma,Chordata,-46.75,37.83333333,Kerguelen petrel,25
4808,"Ryan, 1987",10.1016/0141-1136(87)90028-6,MPB00016,1987,Coastal,Coastal,Unknown,Birds,NA,,,NA,,NA,NA,,1979,,1985,,Necropsy,Stomach,63,63,NA,NA,NA,25,24,NA,NA,Yes,36,8,20,0,36,0,0,0,%,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,,Aphrodroma brevirostris,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Procellariidae,Aphrodroma,Chordata,-54.43333333,3.4,Kerguelen petrel,25
4809,"Ryan, 1987",10.1016/0141-1136(87)90028-6,MPB00016,1987,Coastal/Offshore Waters,Coastal/Offshore Waters,Unknown,Birds,NA,,,NA,,NA,NA,,1979,,1985,,Bolus/Lavage,,150,NA,NA,NA,NA,0,0,NA,NA,No,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,,Aptenodytes patagonicus,Animalia,Bilateria,Deuterostomia,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,Chordata,-37.25,-12.5,king penguin,0
4810,"Ryan, 1987",10.1016/0141-1136(87)90028-6,MPB00016,1987,Coastal/Offshore Waters,Coastal/Offshore Waters,Unknown,Birds,NA,,,NA,,NA,NA,,1979,,1985,,Bolus/Lavage,,150,NA,NA,NA,NA,0,0,NA,NA,No,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,,Aptenodytes patagonicus,Animalia,Bilateria,Deuterostomia,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,Chordata,-40.35,-9.88333333,king penguin,0
4811,"Ryan, 1987",10.1016/0141-1136(87)90028-6,MPB00016,1987,Coastal/Offshore Waters,Coastal/Offshore Waters,Unknown,Birds,NA,,,NA,,NA,NA,,1979,,1985,,Bolus/Lavage,,150,NA,NA,NA,NA,0,0,NA,NA,No,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,,Aptenodytes patagonicus,Animalia,Bilateria,Deuterostomia,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,Chordata,-46.75,37.83333333,king penguin,0
4812,"Ryan, 1987",10.1016/0141-1136(87)90028-6,MPB00016,1987,Coastal/Offshore Waters,Coastal/Offshore Waters,Unknown,Birds,NA,,,NA,,NA,NA,,1979,,1985,,Bolus/Lavage,,150,NA,NA,NA,NA,0,0,NA,NA,No,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,,Aptenodytes patagonicus,Animalia,Bilateria,Deuterostomia,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,Chordata,-54.43333333,3.4,king penguin,0
