HBWv8.1_Order,HBWv8.1_Family,HBWv8.1_Subfamily,HBWv8.1_Tribe,HBWv8.1_Common_name,HBWv8.1_Binomial,HBWv8.1_Genus,IUCN_2023,HBWv8.1_Synonyms
PROCELLARIIFORMES,Procellariidae,NA,NA,Cape Petrel,Daption_capense,Daption,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Snow Petrel,Pagodroma_nivea,Pagodroma,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Blue Petrel,Halobaena_caerulea,Halobaena,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Broad-billed Prion,Pachyptila_vittata,Pachyptila,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Salvin's Prion,Pachyptila_salvini,Pachyptila,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,MacGillivray's Prion,Pachyptila_macgillivrayi,Pachyptila,CR,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Antarctic Prion,Pachyptila_desolata,Pachyptila,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Slender-billed Prion,Pachyptila_belcheri,Pachyptila,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Fairy Prion,Pachyptila_turtur,Pachyptila,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Fulmar Prion,Pachyptila_crassirostris,Pachyptila,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Kerguelen Petrel,Aphrodroma_brevirostris,Aphrodroma,LC,Aphrodroma brevirostris; Pterodroma brevirostris; Lugensa brevirostris
PROCELLARIIFORMES,Procellariidae,NA,NA,Large Saint Helena Petrel,Pterodroma_rupinarum,Pterodroma,EX,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,White-winged Petrel,Pterodroma_leucoptera,Pterodroma,VU,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Collared Petrel,Pterodroma_brevipes,Pterodroma,VU,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Masatierra Petrel,Pterodroma_defilippiana,Pterodroma,VU,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Stejneger's Petrel,Pterodroma_longirostris,Pterodroma,VU,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Cook's Petrel,Pterodroma_cookii,Pterodroma,VU,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Pycroft's Petrel,Pterodroma_pycrofti,Pterodroma,VU,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Bonin Petrel,Pterodroma_hypoleuca,Pterodroma,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Black-winged Petrel,Pterodroma_nigripennis,Pterodroma,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Chatham Islands Petrel,Pterodroma_axillaris,Pterodroma,VU,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Murphy's Petrel,Pterodroma_ultima,Pterodroma,LC,NA
