tips,total_plastic,total_n,species_FO,n_studies,plastic,clements2025_binomial,Clements2025_Order,Clements2025_Family,Clements2025_Common_name,Clements2025_Genus,studied,well_studied,mean_species_FO_weighted,Family
Phaethon_aethereus,54,97,0.5567010309278351,4,yes,Phaethon aethereus,Phaethontiformes,Phaethontidae (Tropicbirds),Red-billed Tropicbird,Phaethon,yes,no,0.31647387999699833,Phaethontidae
Phaethon_lepturus,11,41,0.2682926829268293,4,yes,Phaethon lepturus,Phaethontiformes,Phaethontidae (Tropicbirds),White-tailed Tropicbird,Phaethon,yes,no,0.31647387999699833,Phaethontidae
Phaethon_rubricauda,20,498,0.04016064257028112,11,yes,Phaethon rubricauda,Phaethontiformes,Phaethontidae (Tropicbirds),Red-tailed Tropicbird,Phaethon,yes,yes,0.31647387999699833,Phaethontidae
Phalacrocorax_capensis,0,239,0,1,no,Phalacrocorax capensis,Suliformes,Phalacrocoracidae (Cormorants and Shags),Cape Cormorant,Phalacrocorax,yes,no,0.31647387999699833,Phalacrocoracidae
Phalacrocorax_carbo,4,121,0.03305785123966942,9,yes,Phalacrocorax carbo,Suliformes,Phalacrocoracidae (Cormorants and Shags),Great Cormorant,Phalacrocorax,yes,yes,0.31647387999699833,Phalacrocoracidae
Phalacrocorax_neglectus,1,167,0.0059880239520958,1,yes,Phalacrocorax neglectus,Suliformes,Phalacrocoracidae (Cormorants and Shags),Bank Cormorant,Phalacrocorax,yes,no,0.31647387999699833,Phalacrocoracidae
Phalacrocorax_sulcirostris,1,1,1,1,yes,Phalacrocorax sulcirostris,Suliformes,Phalacrocoracidae (Cormorants and Shags),Little Black Cormorant,Phalacrocorax,yes,no,0.31647387999699833,Phalacrocoracidae
Phalacrocorax_varius,1,7,0.14285714285714285,1,yes,Phalacrocorax varius,Suliformes,Phalacrocoracidae (Cormorants and Shags),Pied Cormorant,Phalacrocorax,yes,no,0.31647387999699833,Phalacrocoracidae
Phalaropus_fulicarius,17,43,0.3953488372093023,7,yes,Phalaropus fulicarius,Charadriiformes,Scolopacidae (Sandpipers and Allies),Red Phalarope,Phalaropus,yes,no,0.31647387999699833,Scolopacidae
Phalaropus_lobatus,2,5,0.4,2,yes,Phalaropus lobatus,Charadriiformes,Scolopacidae (Sandpipers and Allies),Red-necked Phalarope,Phalaropus,yes,no,0.31647387999699833,Scolopacidae
Phoebastria_albatrus,11,17,0.6470588235294118,3,yes,Phoebastria albatrus,Procellariiformes,Diomedeidae (Albatrosses),Short-tailed Albatross,Phoebastria,yes,no,0.31647387999699833,Diomedeidae
Phoebastria_immutabilis,1287,1439,0.8943710910354413,24,yes,Phoebastria immutabilis,Procellariiformes,Diomedeidae (Albatrosses),Laysan Albatross,Phoebastria,yes,yes,0.31647387999699833,Diomedeidae
Phoebastria_irrorata,3,40,0.075,1,yes,Phoebastria irrorata,Procellariiformes,Diomedeidae (Albatrosses),Waved Albatross,Phoebastria,yes,no,0.31647387999699833,Diomedeidae
Phoebastria_nigripes,347,471,0.7367303609341825,15,yes,Phoebastria nigripes,Procellariiformes,Diomedeidae (Albatrosses),Black-footed Albatross,Phoebastria,yes,yes,0.31647387999699833,Diomedeidae
Phoebetria_fusca,1,122,0.00819672131147541,6,yes,Phoebetria fusca,Procellariiformes,Diomedeidae (Albatrosses),Sooty Albatross,Phoebetria,yes,yes,0.31647387999699833,Diomedeidae
Phoebetria_palpebrata,4,58,0.06896551724137931,8,yes,Phoebetria palpebrata,Procellariiformes,Diomedeidae (Albatrosses),Light-mantled Albatross,Phoebetria,yes,no,0.31647387999699833,Diomedeidae
Procellaria_aequinoctialis,347,2272,0.15272887323943662,36,yes,Procellaria aequinoctialis,Procellariiformes,Procellariidae (Shearwaters and Petrels),White-chinned Petrel,Procellaria,yes,yes,0.31647387999699833,Procellariidae
Procellaria_cinerea,1,19,0.05263157894736842,5,yes,Procellaria cinerea,Procellariiformes,Procellariidae (Shearwaters and Petrels),Gray Petrel,Procellaria,yes,no,0.31647387999699833,Procellariidae
Procellaria_conspicillata,11,27,0.4074074074074074,4,yes,Procellaria conspicillata,Procellariiformes,Procellariidae (Shearwaters and Petrels),Spectacled Petrel,Procellaria,yes,no,0.31647387999699833,Procellariidae
Procellaria_parkinsoni,1,15,0.06666666666666667,5,yes,Procellaria parkinsoni,Procellariiformes,Procellariidae (Shearwaters and Petrels),Parkinson's Petrel,Procellaria,yes,no,0.31647387999699833,Procellariidae
Procellaria_westlandica,3,31,0.0967741935483871,6,yes,Procellaria westlandica,Procellariiformes,Procellariidae (Shearwaters and Petrels),Westland Petrel,Procellaria,yes,no,0.31647387999699833,Procellariidae
Pseudobulweria_aterrima,1,1,1,1,yes,Pseudobulweria aterrima,Procellariiformes,Procellariidae (Shearwaters and Petrels),Mascarene Petrel,Pseudobulweria,yes,no,0.31647387999699833,Procellariidae
Pseudobulweria_rostrata,4,196,0.02040816326530612,5,yes,Pseudobulweria rostrata,Procellariiformes,Procellariidae (Shearwaters and Petrels),Tahiti Petrel,Pseudobulweria,yes,yes,0.31647387999699833,Procellariidae
Pterodroma_alba,0,30,0,2,no,Pterodroma alba,Procellariiformes,Procellariidae (Shearwaters and Petrels),Phoenix Petrel,Pterodroma,yes,no,0.31647387999699833,Procellariidae
Pterodroma_arminjoniana,0,23,0,3,no,Pterodroma arminjoniana,Procellariiformes,Procellariidae (Shearwaters and Petrels),Trindade Petrel,Pterodroma,yes,no,0.31647387999699833,Procellariidae
Pterodroma_atrata,0,29,0,1,no,Pterodroma atrata,Procellariiformes,Procellariidae (Shearwaters and Petrels),Henderson Petrel,Pterodroma,yes,no,0.31647387999699833,Procellariidae
Pterodroma_baraui,142,208,0.6826923076923077,2,yes,Pterodroma baraui,Procellariiformes,Procellariidae (Shearwaters and Petrels),Barau's Petrel,Pterodroma,yes,no,0.31647387999699833,Procellariidae
Pterodroma_brevipes,2,3,0.6666666666666666,1,yes,Pterodroma brevipes,Procellariiformes,Procellariidae (Shearwaters and Petrels),Collared Petrel,Pterodroma,yes,no,0.31647387999699833,Procellariidae
Pterodroma_cervicalis,2,25,0.08,5,yes,Pterodroma cervicalis,Procellariiformes,Procellariidae (Shearwaters and Petrels),White-necked Petrel,Pterodroma,yes,no,0.31647387999699833,Procellariidae
Pterodroma_cookii,27,79,0.34177215189873417,11,yes,Pterodroma cookii,Procellariiformes,Procellariidae (Shearwaters and Petrels),Cook's Petrel,Pterodroma,yes,no,0.31647387999699833,Procellariidae
Pterodroma_externa,2,287,0.00696864111498257,2,yes,Pterodroma externa,Procellariiformes,Procellariidae (Shearwaters and Petrels),Juan Fernandez Petrel,Pterodroma,yes,no,0.31647387999699833,Procellariidae
Pterodroma_gouldi,0,4,0,1,no,Pterodroma gouldi,Procellariiformes,Procellariidae (Shearwaters and Petrels),Gray-faced Petrel,Pterodroma,yes,no,0.31647387999699833,Procellariidae
Pterodroma_hypoleuca,29,72,0.4027777777777778,4,yes,Pterodroma hypoleuca,Procellariiformes,Procellariidae (Shearwaters and Petrels),Bonin Petrel,Pterodroma,yes,no,0.31647387999699833,Procellariidae
Pterodroma_incerta,28,102,0.27450980392156865,6,yes,Pterodroma incerta,Procellariiformes,Procellariidae (Shearwaters and Petrels),Atlantic Petrel,Pterodroma,yes,yes,0.31647387999699833,Procellariidae
Pterodroma_inexpectata,5,18,0.2777777777777778,7,yes,Pterodroma inexpectata,Procellariiformes,Procellariidae (Shearwaters and Petrels),Mottled Petrel,Pterodroma,yes,no,0.31647387999699833,Procellariidae
Pterodroma_lessonii,3,70,0.04285714285714286,9,yes,Pterodroma lessonii,Procellariiformes,Procellariidae (Shearwaters and Petrels),White-headed Petrel,Pterodroma,yes,no,0.31647387999699833,Procellariidae
Pterodroma_leucoptera,16,32,0.5,8,yes,Pterodroma leucoptera,Procellariiformes,Procellariidae (Shearwaters and Petrels),Gould's Petrel,Pterodroma,yes,no,0.31647387999699833,Procellariidae
Pterodroma_longirostris,48,72,0.6666666666666666,3,yes,Pterodroma longirostris,Procellariiformes,Procellariidae (Shearwaters and Petrels),Stejneger's Petrel,Pterodroma,yes,no,0.31647387999699833,Procellariidae
Pterodroma_macroptera,28,225,0.12444444444444444,10,yes,Pterodroma macroptera,Procellariiformes,Procellariidae (Shearwaters and Petrels),Great-winged Petrel,Pterodroma,yes,yes,0.31647387999699833,Procellariidae
Pterodroma_mollis,13,63,0.2063492063492063,8,yes,Pterodroma mollis,Procellariiformes,Procellariidae (Shearwaters and Petrels),Soft-plumaged Petrel,Pterodroma,yes,no,0.31647387999699833,Procellariidae
Pterodroma_neglecta,2,46,0.04347826086956521,3,yes,Pterodroma neglecta,Procellariiformes,Procellariidae (Shearwaters and Petrels),Kermadec Petrel,Pterodroma,yes,no,0.31647387999699833,Procellariidae
Pterodroma_nigripennis,4,107,0.03738317757009345,5,yes,Pterodroma nigripennis,Procellariiformes,Procellariidae (Shearwaters and Petrels),Black-winged Petrel,Pterodroma,yes,yes,0.31647387999699833,Procellariidae
Pterodroma_phaeopygia,1,2,0.5,1,yes,Pterodroma phaeopygia,Procellariiformes,Procellariidae (Shearwaters and Petrels),Galapagos Petrel,Pterodroma,yes,no,0.31647387999699833,Procellariidae
Pterodroma_pycrofti,3,7,0.42857142857142855,2,yes,Pterodroma pycrofti,Procellariiformes,Procellariidae (Shearwaters and Petrels),Pycroft's Petrel,Pterodroma,yes,no,0.31647387999699833,Procellariidae
Pterodroma_sandwichensis,6,7,0.8571428571428571,1,yes,Pterodroma sandwichensis,Procellariiformes,Procellariidae (Shearwaters and Petrels),Hawaiian Petrel,Pterodroma,yes,no,0.31647387999699833,Procellariidae
Pterodroma_solandri,13,113,0.11504424778761062,5,yes,Pterodroma solandri,Procellariiformes,Procellariidae (Shearwaters and Petrels),Providence Petrel,Pterodroma,yes,yes,0.31647387999699833,Procellariidae
Pterodroma_ultima,8,65,0.12307692307692308,3,yes,Pterodroma ultima,Procellariiformes,Procellariidae (Shearwaters and Petrels),Murphy's Petrel,Pterodroma,yes,no,0.31647387999699833,Procellariidae
Ptychoramphus_aleuticus,79,214,0.3691588785046729,3,yes,Ptychoramphus aleuticus,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Cassin's Auklet,Ptychoramphus,yes,yes,0.31647387999699833,Alcidae
Puffinus_assimilis,12,48,0.25,12,yes,Puffinus assimilis,Procellariiformes,Procellariidae (Shearwaters and Petrels),Little Shearwater,Puffinus,yes,no,0.31647387999699833,Procellariidae
Puffinus_bailloni,44,56,0.7857142857142857,1,yes,Puffinus bailloni,Procellariiformes,Procellariidae (Shearwaters and Petrels),Tropical Shearwater,Puffinus,yes,no,0.31647387999699833,Procellariidae
Puffinus_gavia,19,151,0.12582781456953643,14,yes,Puffinus gavia,Procellariiformes,Procellariidae (Shearwaters and Petrels),Fluttering Shearwater,Puffinus,yes,yes,0.31647387999699833,Procellariidae
Puffinus_huttoni,1,12,0.08333333333333333,7,yes,Puffinus huttoni,Procellariiformes,Procellariidae (Shearwaters and Petrels),Hutton's Shearwater,Puffinus,yes,no,0.31647387999699833,Procellariidae
Puffinus_lherminieri,71,185,0.3837837837837838,2,yes,Puffinus lherminieri,Procellariiformes,Procellariidae (Shearwaters and Petrels),Sargasso Shearwater,Puffinus,yes,no,0.31647387999699833,Procellariidae
Puffinus_mauretanicus,33,47,0.7021276595744681,2,yes,Puffinus mauretanicus,Procellariiformes,Procellariidae (Shearwaters and Petrels),Balearic Shearwater,Puffinus,yes,no,0.31647387999699833,Procellariidae
Puffinus_nativitatis,21,245,0.08571428571428572,7,yes,Puffinus nativitatis,Procellariiformes,Procellariidae (Shearwaters and Petrels),Christmas Shearwater,Puffinus,yes,yes,0.31647387999699833,Procellariidae
Puffinus_newelli,17,48,0.3541666666666667,2,yes,Puffinus newelli,Procellariiformes,Procellariidae (Shearwaters and Petrels),Newell's Shearwater,Puffinus,yes,no,0.31647387999699833,Procellariidae
Puffinus_puffinus,174,740,0.23513513513513515,22,yes,Puffinus puffinus,Procellariiformes,Procellariidae (Shearwaters and Petrels),Manx Shearwater,Puffinus,yes,yes,0.31647387999699833,Procellariidae
Puffinus_yelkouan,22,31,0.7096774193548387,1,yes,Puffinus yelkouan,Procellariiformes,Procellariidae (Shearwaters and Petrels),Yelkouan Shearwater,Puffinus,yes,no,0.31647387999699833,Procellariidae
Pygoscelis_adeliae,9,161,0.05590062111801242,8,yes,Pygoscelis adeliae,Sphenisciformes,Spheniscidae (Penguins),Adelie Penguin,Pygoscelis,yes,yes,0.31647387999699833,Spheniscidae
Pygoscelis_antarcticus,20,83,0.24096385542168677,4,yes,Pygoscelis antarcticus,Sphenisciformes,Spheniscidae (Penguins),Chinstrap Penguin,Pygoscelis,yes,no,0.31647387999699833,Spheniscidae
Pygoscelis_papua,103,563,0.18294849023090587,12,yes,Pygoscelis papua,Sphenisciformes,Spheniscidae (Penguins),Gentoo Penguin,Pygoscelis,yes,yes,0.31647387999699833,Spheniscidae
Rissa_brevirostris,10,61,0.16393442622950818,2,yes,Rissa brevirostris,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Red-legged Kittiwake,Rissa,yes,no,0.31647387999699833,Laridae
Rissa_tridactyla,59,649,0.09090909090909093,18,yes,Rissa tridactyla,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Black-legged Kittiwake,Rissa,yes,yes,0.31647387999699833,Laridae
Rynchops_niger,0,49,0,1,no,Rynchops niger,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Black Skimmer,Rynchops,yes,no,0.31647387999699833,Laridae
Somateria_mollissima,131,1242,0.10547504025764896,10,yes,Somateria mollissima,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Common Eider,Somateria,yes,yes,0.31647387999699833,Anatidae
Somateria_spectabilis,0,54,0,3,no,Somateria spectabilis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",King Eider,Somateria,yes,no,0.31647387999699833,Anatidae
Spheniscus_demersus,8,5164,0.00154918667699457,4,yes,Spheniscus demersus,Sphenisciformes,Spheniscidae (Penguins),African Penguin,Spheniscus,yes,yes,0.31647387999699833,Spheniscidae
Spheniscus_humboldti,0,31,0,2,no,Spheniscus humboldti,Sphenisciformes,Spheniscidae (Penguins),Humboldt Penguin,Spheniscus,yes,no,0.31647387999699833,Spheniscidae
Spheniscus_magellanicus,271,1571,0.17250159134309356,14,yes,Spheniscus magellanicus,Sphenisciformes,Spheniscidae (Penguins),Magellanic Penguin,Spheniscus,yes,yes,0.31647387999699833,Spheniscidae
Spheniscus_mendiculus,0,2,0,1,no,Spheniscus mendiculus,Sphenisciformes,Spheniscidae (Penguins),Galapagos Penguin,Spheniscus,yes,no,0.31647387999699833,Spheniscidae
Stercorarius_antarcticus,2603,6673,0.39007942454668065,10,yes,Stercorarius antarcticus,Charadriiformes,Stercorariidae (Skuas and Jaegers),Brown Skua,Stercorarius,yes,yes,0.31647387999699833,Stercorariidae
Stercorarius_longicaudus,1,4,0.25,2,yes,Stercorarius longicaudus,Charadriiformes,Stercorariidae (Skuas and Jaegers),Long-tailed Jaeger,Stercorarius,yes,no,0.31647387999699833,Stercorariidae
Stercorarius_maccormicki,6,216,0.02777777777777777,6,yes,Stercorarius maccormicki,Charadriiformes,Stercorariidae (Skuas and Jaegers),South Polar Skua,Stercorarius,yes,yes,0.31647387999699833,Stercorariidae
Stercorarius_parasiticus,3,13,0.2307692307692308,5,yes,Stercorarius parasiticus,Charadriiformes,Stercorariidae (Skuas and Jaegers),Parasitic Jaeger,Stercorarius,yes,no,0.31647387999699833,Stercorariidae
Stercorarius_pomarinus,0,5,0,4,no,Stercorarius pomarinus,Charadriiformes,Stercorariidae (Skuas and Jaegers),Pomarine Jaeger,Stercorarius,yes,no,0.31647387999699833,Stercorariidae
Stercorarius_skua,117,650,0.18,3,yes,Stercorarius skua,Charadriiformes,Stercorariidae (Skuas and Jaegers),Great Skua,Stercorarius,yes,yes,0.31647387999699833,Stercorariidae
Sterna_dougallii,0,26,0,3,no,Sterna dougallii,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Roseate Tern,Sterna,yes,no,0.31647387999699833,Laridae
Sterna_hirundinacea,0,25,0,4,no,Sterna hirundinacea,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",South American Tern,Sterna,yes,no,0.31647387999699833,Laridae
Sterna_hirundo,13,230,0.05652173913043478,12,yes,Sterna hirundo,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Common Tern,Sterna,yes,yes,0.31647387999699833,Laridae
Sterna_paradisaea,0,70,0,5,no,Sterna paradisaea,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Arctic Tern,Sterna,yes,no,0.31647387999699833,Laridae
Sterna_vittata,0,21,0,3,no,Sterna vittata,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Antarctic Tern,Sterna,yes,no,0.31647387999699833,Laridae
Sternula_albifrons,44,108,0.4074074074074074,4,yes,Sternula albifrons,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Little Tern,Sternula,yes,yes,0.31647387999699833,Laridae
Sternula_nereis,0,2,0,2,no,Sternula nereis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Australian Fairy Tern,Sternula,yes,no,0.31647387999699833,Laridae
Sula_dactylatra,7,972,0.00720164609053498,12,yes,Sula dactylatra,Suliformes,Sulidae (Boobies and Gannets),Masked Booby,Sula,yes,yes,0.31647387999699833,Sulidae
Sula_leucogaster,93,910,0.1021978021978022,12,yes,Sula leucogaster,Suliformes,Sulidae (Boobies and Gannets),Brown Booby,Sula,yes,yes,0.31647387999699833,Sulidae
Sula_sula,7,556,0.01258992805755395,9,yes,Sula sula,Suliformes,Sulidae (Boobies and Gannets),Red-footed Booby,Sula,yes,yes,0.31647387999699833,Sulidae
Synthliboramphus_antiquus,1,199,0.0050251256281407,4,yes,Synthliboramphus antiquus,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Ancient Murrelet,Synthliboramphus,yes,yes,0.31647387999699833,Alcidae
Synthliboramphus_hypoleucus,0,6,0,1,no,Synthliboramphus hypoleucus,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Guadalupe Murrelet,Synthliboramphus,yes,no,0.31647387999699833,Alcidae
Thalassarche_bulleri,8,401,0.0199501246882793,12,yes,Thalassarche bulleri,Procellariiformes,Diomedeidae (Albatrosses),Buller's Albatross,Thalassarche,yes,yes,0.31647387999699833,Diomedeidae
Thalassarche_carteri,1,77,0.01298701298701298,1,yes,Thalassarche carteri,Procellariiformes,Diomedeidae (Albatrosses),Indian Yellow-nosed Albatross,Thalassarche,yes,no,0.31647387999699833,Diomedeidae
Thalassarche_cauta,26,1587,0.01638311279143037,25,yes,Thalassarche cauta,Procellariiformes,Diomedeidae (Albatrosses),White-capped Albatross,Thalassarche,yes,yes,0.31647387999699833,Diomedeidae
Thalassarche_chlororhynchos,21,275,0.07636363636363637,17,yes,Thalassarche chlororhynchos,Procellariiformes,Diomedeidae (Albatrosses),Atlantic Yellow-nosed Albatross,Thalassarche,yes,yes,0.31647387999699833,Diomedeidae
Thalassarche_chrysostoma,89,558,0.1594982078853047,9,yes,Thalassarche chrysostoma,Procellariiformes,Diomedeidae (Albatrosses),Gray-headed Albatross,Thalassarche,yes,yes,0.31647387999699833,Diomedeidae
Thalassarche_eremita,0,19,0,3,no,Thalassarche eremita,Procellariiformes,Diomedeidae (Albatrosses),Chatham Albatross,Thalassarche,yes,no,0.31647387999699833,Diomedeidae
Thalassarche_melanophris,59,574,0.10278745644599303,22,yes,Thalassarche melanophris,Procellariiformes,Diomedeidae (Albatrosses),Black-browed Albatross,Thalassarche,yes,yes,0.31647387999699833,Diomedeidae
Thalassarche_salvini,2,183,0.01092896174863388,6,yes,Thalassarche salvini,Procellariiformes,Diomedeidae (Albatrosses),Salvin's Albatross,Thalassarche,yes,yes,0.31647387999699833,Diomedeidae
Thalasseus_bergii,0,17,0,4,no,Thalasseus bergii,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Great Crested Tern,Thalasseus,yes,no,0.31647387999699833,Laridae
Thalasseus_maximus,9,35,0.2571428571428571,4,yes,Thalasseus maximus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Royal Tern,Thalasseus,yes,no,0.31647387999699833,Laridae
Thalasseus_sandvicensis,4,159,0.02515723270440251,7,yes,Thalasseus sandvicensis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sandwich Tern,Thalasseus,yes,yes,0.31647387999699833,Laridae
Thalassoica_antarctica,5,227,0.02202643171806167,8,yes,Thalassoica antarctica,Procellariiformes,Procellariidae (Shearwaters and Petrels),Antarctic Petrel,Thalassoica,yes,yes,0.31647387999699833,Procellariidae
Uria_aalge,53,748,0.07085561497326204,16,yes,Uria aalge,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Common Murre,Uria,yes,yes,0.31647387999699833,Alcidae
Uria_lomvia,190,2794,0.06800286327845383,18,yes,Uria lomvia,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Thick-billed Murre,Uria,yes,yes,0.31647387999699833,Alcidae
Urile_pelagicus,5,24,0.20833333333333337,4,yes,Urile pelagicus,Suliformes,Phalacrocoracidae (Cormorants and Shags),Pelagic Cormorant,Urile,yes,no,0.31647387999699833,Phalacrocoracidae
Urile_urile,3,28,0.10714285714285714,3,yes,Urile urile,Suliformes,Phalacrocoracidae (Cormorants and Shags),Red-faced Cormorant,Urile,yes,no,0.31647387999699833,Phalacrocoracidae
Xema_sabini,0,6,0,3,no,Xema sabini,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sabine's Gull,Xema,yes,no,0.31647387999699833,Laridae
Aethia_pusilla,NA,NA,NA,0,NA,Aethia pusilla,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Least Auklet,Aethia,no,no,0.31647387999699833,Alcidae
Anous_albivitta,NA,NA,NA,0,NA,Anous albivitta,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Gray Noddy,Anous,no,no,0.31647387999699833,Laridae
Brachyramphus_perdix,NA,NA,NA,0,NA,Brachyramphus perdix,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Long-billed Murrelet,Brachyramphus,no,no,0.31647387999699833,Alcidae
Bulweria_fallax,NA,NA,NA,0,NA,Bulweria fallax,Procellariiformes,Procellariidae (Shearwaters and Petrels),Jouanin's Petrel,Bulweria,no,no,0.31647387999699833,Procellariidae
Calonectris_diomedea,NA,NA,NA,0,NA,Calonectris diomedea,Procellariiformes,Procellariidae (Shearwaters and Petrels),Scopoli's Shearwater,Calonectris,no,no,0.31647387999699833,Procellariidae
Cepphus_carbo,NA,NA,NA,0,NA,Cepphus carbo,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Spectacled Guillemot,Cepphus,no,no,0.31647387999699833,Alcidae
Chlidonias_albostriatus,NA,NA,NA,0,NA,Chlidonias albostriatus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Black-fronted Tern,Chlidonias,no,no,0.31647387999699833,Laridae
Chlidonias_hybrida,NA,NA,NA,0,NA,Chlidonias hybrida,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Whiskered Tern,Chlidonias,no,no,0.31647387999699833,Laridae
Chlidonias_leucopterus,NA,NA,NA,0,NA,Chlidonias leucopterus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",White-winged Tern,Chlidonias,no,no,0.31647387999699833,Laridae
Chroicocephalus_brunnicephalus,NA,NA,NA,0,NA,Chroicocephalus brunnicephalus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Brown-headed Gull,Chroicocephalus,no,no,0.31647387999699833,Laridae
Chroicocephalus_bulleri,NA,NA,NA,0,NA,Chroicocephalus bulleri,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Black-billed Gull,Chroicocephalus,no,no,0.31647387999699833,Laridae
Chroicocephalus_genei,NA,NA,NA,0,NA,Chroicocephalus genei,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Slender-billed Gull,Chroicocephalus,no,no,0.31647387999699833,Laridae
Chroicocephalus_maculipennis,NA,NA,NA,0,NA,Chroicocephalus maculipennis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Brown-hooded Gull,Chroicocephalus,no,no,0.31647387999699833,Laridae
Chroicocephalus_serranus,NA,NA,NA,0,NA,Chroicocephalus serranus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Andean Gull,Chroicocephalus,no,no,0.31647387999699833,Laridae
Creagrus_furcatus,NA,NA,NA,0,NA,Creagrus furcatus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Swallow-tailed Gull,Creagrus,no,no,0.31647387999699833,Laridae
Diomedea_amsterdamensis,NA,NA,NA,0,NA,Diomedea amsterdamensis,Procellariiformes,Diomedeidae (Albatrosses),Amsterdam Albatross,Diomedea,no,no,0.31647387999699833,Diomedeidae
Eudyptes_filholi,NA,NA,NA,0,NA,Eudyptes filholi,Sphenisciformes,Spheniscidae (Penguins),Eastern Rockhopper Penguin,Eudyptes,no,no,0.31647387999699833,Spheniscidae
Eudyptes_pachyrhynchus,NA,NA,NA,0,NA,Eudyptes pachyrhynchus,Sphenisciformes,Spheniscidae (Penguins),Fiordland Penguin,Eudyptes,no,no,0.31647387999699833,Spheniscidae
Eudyptes_robustus,NA,NA,NA,0,NA,Eudyptes robustus,Sphenisciformes,Spheniscidae (Penguins),Snares Penguin,Eudyptes,no,no,0.31647387999699833,Spheniscidae
Eudyptes_schlegeli,NA,NA,NA,0,NA,Eudyptes schlegeli,Sphenisciformes,Spheniscidae (Penguins),Royal Penguin,Eudyptes,no,no,0.31647387999699833,Spheniscidae
Eudyptes_sclateri,NA,NA,NA,0,NA,Eudyptes sclateri,Sphenisciformes,Spheniscidae (Penguins),Erect-crested Penguin,Eudyptes,no,no,0.31647387999699833,Spheniscidae
Fregata_andrewsi,NA,NA,NA,0,NA,Fregata andrewsi,Suliformes,Fregatidae (Frigatebirds),Christmas Island Frigatebird,Fregata,no,no,0.31647387999699833,Fregatidae
Fregata_aquila,NA,NA,NA,0,NA,Fregata aquila,Suliformes,Fregatidae (Frigatebirds),Ascension Frigatebird,Fregata,no,no,0.31647387999699833,Fregatidae
Fregetta_lineata,NA,NA,NA,0,NA,Fregetta lineata,Procellariiformes,Oceanitidae (Southern Storm-Petrels),New Caledonian Storm-Petrel,Fregetta,no,no,0.31647387999699833,Oceanitidae
Fregetta_maoriana,NA,NA,NA,0,NA,Fregetta maoriana,Procellariiformes,Oceanitidae (Southern Storm-Petrels),New Zealand Storm-Petrel,Fregetta,no,no,0.31647387999699833,Oceanitidae
Gelochelidon_macrotarsa,NA,NA,NA,0,NA,Gelochelidon macrotarsa,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Australian Tern,Gelochelidon,no,no,0.31647387999699833,Laridae
Gelochelidon_nilotica,NA,NA,NA,0,NA,Gelochelidon nilotica,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Gull-billed Tern,Gelochelidon,no,no,0.31647387999699833,Laridae
Gygis_microrhyncha,NA,NA,NA,0,NA,Gygis microrhyncha,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Little White-Tern,Gygis,no,no,0.31647387999699833,Laridae
Hydrobates_cheimomnestes,NA,NA,NA,0,NA,Hydrobates cheimomnestes,Procellariiformes,Hydrobatidae (Northern Storm-Petrels),Ainley's Storm-Petrel,Hydrobates,no,no,0.31647387999699833,Hydrobatidae
Hydrobates_homochroa,NA,NA,NA,0,NA,Hydrobates homochroa,Procellariiformes,Hydrobatidae (Northern Storm-Petrels),Ashy Storm-Petrel,Hydrobates,no,no,0.31647387999699833,Hydrobatidae
